"plot","transectID","observation","species","layer","dbh","height","crownNS","crownEW","leafsample","distance","bearing","sampleheight","tree","ageclass","health","stagclass","hollows","hollowlocation","hollowheight","hollownum","hollowsize","flowering","ybgsigns","N","digN","Ndig_cv","DMD","DMD_cv","hollownumber","hollowsfix","hollowpres","meancrown","crown_area","ba","Fi","EFi","hollows_ha","GG","GG_no","elevation","slope","aspect","layers","foliagecover","density","ASC_O","ASC_SO","arboreal_count","arboreal_species","climate_gradient","mean_N","mean_digN","cond","AHMI","TWI250","NDVI","Fire250","soil_nitrate.nitrogen","soil_phosphorus.colwell","soil_potassium.colwell","soil_pH.CaCl2","soil_total.nitrogen","soil_total.carbon","obs","health_cat_fct","health_cat","health_cat_factor","layers_num","layer_num","ageclass_num","Fi_re","EFi_re","hollows_ha_re","transect","hollownumber_fix","hollows_ha_fix","hollowpres_fix"
"T1P3","T1","6","Eucalyptus cypellocarpa","Canopy",57,29.4,5.7,8.5,"Yes",12.71,137,14,"T1P3Q5","Mature ","Alive",NA,"Absent",NA,NA,NA,NA,"No","No",0.995,NA,NA,NA,NA,0,"Absent","0",7.1,48.45,0.25520895,637.939658219577,15.6754637702082,0,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,86,"Alive",1,"1",2,1,2,637.939658219577,15.6754637702082,0,"lowlands",0,0,"0"
"T1P3","T1","7","Eucalyptus sieberi","Subcanopy",48,21,4.1,2.8,"No",NA,NA,NA,NA,"Regrowth","Alive",NA,"Potential ",24,26,2,2,"No","No",NA,NA,NA,NA,NA,2,"Potential ","2",3.45,11.48,0.1809792,452.38934211693,22.1048532072077,44.2097064144154,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,87,"Alive",1,"1",2,2,1,452.38934211693,22.1048532072077,44.2097064144154,"lowlands",0,0,"0"
"T1P3","T1","8","Eucalyptus sieberi","Canopy",104,25.67,10,4.5,"Yes",18.68,145,19,"T1P3Q2","Over-mature","Alive",NA,"Present",3,17,3,4,"No","No",1.0347,NA,NA,NA,NA,3,"Present","1",7.25,45,0.8495968,2123.7166338267,4.70872612697915,14.1261783809375,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,88,"Alive",1,"1",2,1,3,2123.7166338267,4.70872612697915,14.1261783809375,"lowlands",3,14.1261783809375,"1"
"T1P3","T1","9","Eucalyptus sieberi","Canopy",63,28,10,10.2,"No",NA,NA,NA,NA,"Mature ","Alive",NA,"Absent",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,0,"Absent","0",10.1,102,0.31176495,779.311327631118,12.8318422245922,0,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,89,"Alive",1,"1",2,1,2,779.311327631118,12.8318422245922,0,"lowlands",0,0,"0"
"T1P3","T1","10","Eucalyptus sieberi","Canopy",58,27.7,8.5,9.7,"Yes",14.98,195,21,"T1P3Q3","Mature ","Alive",NA,"Absent",NA,NA,NA,NA,"No","No",0.92433,NA,NA,NA,NA,0,"Absent","0",9.1,82.45,0.2642422,660.519855417254,15.1395903060067,0,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,90,"Alive",1,"1",2,1,2,660.519855417254,15.1395903060067,0,"lowlands",0,0,"0"
"T1P3","T1","11","Eucalyptus sieberi","Canopy",57,25.2,4.8,7.2,"No",NA,NA,NA,NA,"Mature ","Senescing",NA,"Potential ",2,23,1,4,"No","No",NA,NA,NA,NA,NA,1,"Potential ","2",6,34.56,0.25520895,637.939658219577,15.6754637702082,15.6754637702082,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,91,"Senescing",2,"2",2,1,2,637.939658219577,15.6754637702082,15.6754637702082,"lowlands",0,0,"0"
"T1P3","T1","12","Eucalyptus sieberi","Canopy",55,25.4,9.5,9.5,"No",NA,NA,NA,NA,"Mature ","Alive",NA,"Absent",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,0,"Absent","0",9.5,90.25,0.23761375,593.95736106932,16.8362253849278,0,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,92,"Alive",1,"1",2,1,2,593.95736106932,16.8362253849278,0,"lowlands",0,0,"0"
"T1P3","T1","13","Eucalyptus sieberi","Subcanopy",38,23,3.7,4.5,"Yes",5,270,10,"T1P3Q4","Regrowth","Alive",NA,"Absent",NA,NA,NA,NA,"No","No",0.9474,NA,NA,NA,NA,0,"Absent","0",4.1,16.65,0.1134262,283.528736986479,35.2697934829685,0,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,93,"Alive",1,"1",2,2,1,283.528736986479,35.2697934829685,0,"lowlands",0,0,"0"
"T1P3","T1","14","Eucalyptus sieberi","Subcanopy",37,18.2,3.1,2.9,"No",NA,NA,NA,NA,"Regrowth","Alive",NA,"Absent",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,0,"Absent","0",3,8.99,0.10753495,268.802521422777,37.2020319864182,0,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,94,"Alive",1,"1",2,2,1,268.802521422777,37.2020319864182,0,"lowlands",0,0,"0"
"T1P3","T1","15","Eucalyptus sieberi","Subcanopy",29,15.2,NA,NA,"No",NA,NA,NA,NA,"Stag","Dead",5,"Potential ",2,53,1,2,"No","No",NA,NA,NA,NA,NA,1,"Potential ","2",NA,NA,0.06606055,165.129963854314,60.5583612240268,60.5583612240268,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,95,"Dead",3,"3",2,2,5,165.129963854314,60.5583612240268,60.5583612240268,"lowlands",0,0,"0"
"T1P3","T1","16","Eucalyptus sieberi","Midstorey",47,7,NA,NA,"No",NA,NA,NA,NA,"Stag","Dead",8,"Present",18,52,1,3,"No","No",NA,NA,NA,NA,NA,1,"Present","1",NA,NA,0.17351695,433.736135736241,23.055491982529,23.055491982529,0,0,397,5,220,"2",25,"Low","DE","AA",6,3,0.134525775909424,1.004726,NA,2882,31.5800761290991,6.12135,8328,2,"2",18,163,4.2,0.23,6.15,96,"Dead",3,"3",2,3,5,433.736135736241,23.055491982529,23.055491982529,"lowlands",1,23.055491982529,"1"
