observers,transectID,plotID,date,species,observation,comments,count,waypoint,location,Side of transect,distance,bearing,tree,height,photo number
"BW, AS, SL, ES",T1,2,25-04-19 21:28,Sugar glider,Visual,,1,,"-37.6244829,148.2906186",Left,20,30,Eucalyptus sieberi ,23,
"BW, AS, SL, ES",T1,2,25-04-19 21:39,Feral dog,Vocal ,feral dog,1,,"-37.6243537,148.291352",Left,100,,,,
"BW, AS, SL, ES",T1,2,25-04-19 21:42,Sugar glider,"Vocal , Visual",,2,,"-37.6248022,148.2916504",Left,12,,Eucalyptus globoidea ,15,
"BW, AS, SL, ES",T1,2,25-04-19 22:19,Southern Boobook,Vocal ,,1,,"-37.6277309,148.2879417",Right,50,,,,
"BW, AS, SL, ES",T1,2,25-04-19 22:32,Victoria smooth froglet ,Vocal ,Victoria smooth froglet ,5,,"-37.6282602,148.289611","Left, Right",50,,,,
"BW, AS, SL, ES",T1.5,2,26-04-19 23:36,Victoria smooth froglet ,Vocal ,Victoria smooth froglet ,2,,"-37.643819,148.2186164",Left,50,,,,
"BW, AS, SL, ES",T1.5,5,27-04-19 1:04,Yellow-bellied glider,Vocal ,,1,,"-37.776047,148.1832373",Left,60,,,,
"BW, AS, SL, ES",T1.5,5,27-04-19 1:06,Victoria smooth froglet ,Vocal ,Victoria smooth froglet ,5,,"-37.7761993,148.1832394","Left, Right",20,,,,
"BW, AS, SL, ES",T1.5,5,27-04-19 1:12,Ringtail possum,Visual,,2,,"-37.7761548,148.1832881",Left,20,63,,,
"BW, AS, SL, ES",T1.5,5,27-04-19 1:20,Commom brushtail possum,Visual,really fat,1,,"-37.7764751,148.183113",Left,15,92,Eucalyptus globoidea ,24,
"BW, AS, SL, ES",T1.5,5,27-04-19 1:59,Powerful owl,Visual,,1,,"-37.7828486,148.1835483",Right,18,,,15,
"BW, AS, SL, ES",T3.5,1,27-04-19 20:37,Greater Glider,Visual,,1,new1,"-37.1902362,148.8414735",Right,20,120,Eucalyptus obliqua ,20,
"BW, AS, SL, ES",T3.5,1,27-04-19 20:53,Greater Glider,Visual,white,2,new2,"-37.1902654,148.8416817",Right,10,150,Eucalyptus cypellocarpa ,26,
"BW, AS, SL, ES",T3.5,1,27-04-19 20:58,Mt brushtail possum,Visual,,1,new2,"-37.1902654,148.8416817",Right,15,150,Eucalyptus obliqua ,30,
"BW, AS, SL, ES",T3.5,1,27-04-19 21:09,Greater Glider,Visual,,1,new3,"-37.1908557,148.844478",Right,30,190,Eucalyptus obliqua ,32,
"BW, AS, SL, ES",T3.5,1,27-04-19 21:12,Sugar glider,Visual,,1,,"-37.1903873,148.8442795",Left,35,20,Eucalyptus cypellocarpa ,29,
"BW, AS, SL, ES",T3.5,1,27-04-19 21:18,Greater Glider,Visual,,1,new4,"-37.1905027,148.8449619",Right,40,60,Eucalyptus obliqua ,30,
"BW, AS, SL, ES",T3.5,1,27-04-19 21:18,Southern Boobook,Vocal ,,2,,"-37.1904292,148.844648",Left,,,,,
"BW, AS, SL, ES",T3.5,1,27-04-19 21:21,Sugar glider,Visual,,1,jumping,"-37.1904795,148.8445322",Right,15,180,Eucalyptus obliqua ,10,
"BW, AS, SL, ES",T3.5,1,27-04-19 21:29,Greater Glider,Visual,black ,2,new5,"-37.1906894,148.8465075",Left,40,20,Eucalyptus obliqua ,15,
"BW, AS, SL, ES",T3.5,1,27-04-19 22:11,Mt brushtail possum,Visual,,1,,"-37.1915088,148.851988",Left,60,25,Acacia spp,13,
"BW, AS, SL, ES",T3.5,1,27-04-19 22:34,Greater Glider,Visual,,1,new6,"-37.1909334,148.8461231",Right,25,280,Eucalyptus croagingalensis ,34,
