"site_ID","sampling_point","quarter","treeID","species","dead_alive","burnt","charring","distance","bearing","dbh","height","crown_NS","crown_EW","layer","age_class","hollows","hollow_num","hollow_height","hollow_size","ybg_signs","reproductive","leaf_sample","epicormic_sample","bag_ID","comments","plot","gg_pres","n_gg","firesev","elevation","aspect","slope","mid_understory_density","layers","foliagecover","c","total_n","AHMI","cond","et0","hn","rain","vpd","FT","ph","slope.1","TWI","fires","NDVI","climsuit","ASC_O","ASC_SO","x","y","Colour","Gravel","Texture","Ammonium.Nitrogen","Nitrate.Nitrogen","Phosphorus.Colwell","Potassium.Colwell","Sulfur","Organic.Carbon","Conductivity","pH.Level..CaCl2.","pH.Level..H2O.","DTPA.Copper","DTPA.Iron","DTPA.Manganese","DTPA.Zinc","Exc..Aluminium","Exc..Calcium","Exc..Magnesium","Exc..Potassium","Exc..Sodium","Boron.Hot.CaCl2","Total.Nitrogen","Total.Carbon","mean_leaf_n","mean_leaf_c"
"G3F0",7,1,"25","Eucalyptus consideniana","A","burnt","light",15.7,186,25.8,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",7,1,"d11","unknown","D","burnt","light",2.3,158,9.9,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",6,2,"d9","unknown","D","burnt","light",0.3,240,91,NA,NA,NA,"canopy","mature","present",2,15,">20cm","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",6,2,"22","Olearia argophylla","A","burnt","light",5.3,267,9.4,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",6,3,"d10","unknown","D","burnt","light",5.4,41,49.2,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",6,3,"23","Eucalyptus consideniana","A","burnt","light",8.9,67,45.1,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",6,4,"d8","unknown","D","unburnt","",8.6,80,21.9,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",6,4,"24","Eucalyptus denticulata","A","burnt","light",9.7,117,119.5,NA,NA,NA,"canopy","mature","present",1,20,"<5cm","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",6,1,"21","Eucalyptus consideniana","A","burnt","light",2,179,197,NA,NA,NA,"canopy","over-mature","present",5,17,"<5cm","no","no","yes","yes","g3 f0 tree21 e.consi 4","","G3F0",0,0,3,930,40,10,"high",1,70,53.4,1.74,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",5,4,"20","Eucalyptus consideniana","A","burnt","medium",18.1,85,189,NA,NA,NA,"canopy","mature","present",5,22,"<5cm","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
